ManagerID,AttritionRisk,EmployeeEngagement,EmployeeSatisfaction,StressScore,ManagerName,ManagerCode,and,collaboration,colleagues,comments,committed,communication,completing,contributes,creative,demonstrates,employee,enthusiasm,excellent,great,his,improve,in,job,lack,meets,minimum,needs,no,normally,of,on,outstanding,performance,performs,poor,projects,punctuality,recent,required,requirements,significantly,skills,tasks,team,the,to,who,with,work,LeaderScore,LeaderQuality
0_3_2,0.026466342590030223,2.909090909090909,2.8181818181818183,2.4545454545454546,Youssef Tarek,M117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6366861902367154,Good
1_0_2,0.03040223919580954,2.6666666666666665,3.0370370370370368,2.7777777777777777,Youssef Tarek,M114,0.0,0.48145071742765144,0.48145071742765144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39026633217919227,0.0,0.0,0.0,0.0,0.0,0.39026633217919227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48145071742765144,0.0,1.6174687339513059,Good
1_5_2,0.04048188262742359,2.8076923076923075,2.7435897435897436,2.423076923076923,Mohamed Ali,M112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32930715138393396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39981158659242305,0.39981158659242305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39981158659242305,0.32930715138393396,0.0,0.0,0.32930715138393396,0.32930715138393396,0.29441346074686087,0.0,0.0,0.0,1.597140580282364,Good
1_3_2,0.03140806035913403,2.739130434782609,2.7971014492753623,2.5,Omar Khaled,M110,0.0,0.0,0.0,0.0,0.0,0.0,0.3605425056517148,0.0,0.3605425056517148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3605425056517148,0.0,0.3829658819100569,0.0,0.0,0.0,0.0,0.0,0.3829658819100569,0.0,0.0,0.0,0.0,0.0,0.0,0.47244454208069303,0.0,0.0,0.0,0.0,0.0,0.3057739787801092,0.0,0.0,0.0,0.0,0.0,0.0,1.5946831526679408,Good
2_3_2,0.030500666300715174,2.787878787878788,2.7070707070707067,2.3636363636363638,Ahmed Hassan,M107,0.0,0.0,0.0,0.0,0.0,0.32258706618274857,0.0,0.2847941599149583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32258706618274857,0.0,0.0,0.0,0.0,0.0,0.32258706618274857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2847941599149583,0.32258706618274857,0.0,0.2847941599149583,0.2847941599149583,0.5092342141291772,0.0,0.0,0.0,1.5922441779241585,Good
1_3_1,0.14127421695805362,3.0,2.5833333333333335,2.375,Ahmed Hassan,M118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5651569798834455,Good
1_4_2,0.05124228090160334,2.6,2.8666666666666663,2.8,Omar Khaled,M120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.560836420972692,Good
1_2_1,0.13903834515186161,2.805084745762712,2.694915254237288,2.305084745762712,Ahmed Hassan,M106,0.16542479505711938,0.0,0.0,0.0,0.0,0.0,0.13625309984841608,0.13625309984841608,0.13625309984841608,0.0,0.0,0.0,0.16542479505711938,0.0,0.4087592995452482,0.0,0.13625309984841608,0.4087592995452482,0.14472714791868124,0.0,0.0,0.0,0.0,0.4087592995452482,0.14472714791868124,0.0,0.15433423126208234,0.16542479505711938,0.3654467857312696,0.0,0.0,0.17854214789072181,0.0,0.0,0.0,0.13625309984841608,0.0,0.1155554527099779,0.13625309984841608,0.13625309984841608,0.12181559524375653,0.0,0.0,0.16542479505711938,1.552181272108747,Good
0_1_0,0.20090860544679906,2.878787878787879,2.737373737373737,2.303030303030303,Mona Hany,M116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5507476689323916,Good
1_4_1,0.13752443070884146,2.7333333333333334,2.7679012345679013,2.4814814814814814,Aya Khaled,M104,0.1381799720082558,0.0,0.0,0.3250944039985253,0.0,0.12891598111605104,0.22762548403449795,0.0,0.22762548403449795,0.0,0.0,0.0,0.1381799720082558,0.0,0.11381274201724897,0.12891598111605104,0.22762548403449795,0.11381274201724897,0.0,0.1381799720082558,0.1381799720082558,0.12891598111605104,0.3250944039985253,0.11381274201724897,0.0,0.17983602681683977,0.3867479433481531,0.2763599440165116,0.10175303850392695,0.17983602681683977,0.17983602681683977,0.0,0.17983602681683977,0.0,0.1381799720082558,0.0,0.12891598111605104,0.19304783439934364,0.0,0.0,0.10175303850392695,0.0,0.0,0.1381799720082558,1.5459778820374512,Not Good
